,id,created_at,text,author_id,tokens
0,1.50E+18,2022-03-12T16:00:18.000Z,Pay attention to key levels ???? https://t.co/SodQ8VCQae,15971805,"['pay', 'attention', 'to', 'key', 'level', 'httpstcosodqvcqae']"
1,1.50E+18,2022-03-12T14:46:41.000Z,"@OddStockTrader @IU_Chat Well if he is going to meet you at 11am that means ~1pm just FYI 

cc: @swedepilot",15971805,"['oddstocktrader', 'iuchat', 'well', 'if', 'he', 'is', 'going', 'to', 'meet', 'you', 'at', 'am', 'that', 'mean', 'pm', 'just', 'fyi', 'cc', 'swedepilot']"
2,1.50E+18,2022-03-12T14:41:49.000Z,@OddStockTrader @IU_Chat You visiting again? He's there.,15971805,"['oddstocktrader', 'iuchat', 'you', 'visiting', 'again', 'he', 'there']"
3,1.50E+18,2022-03-12T03:04:33.000Z,"@RedRockTrader1 Yes, I missed the short after the liquidity trap played out so well, pissed! Kept meaning to fade it past 2 days given the $10 exhaustion and post squeeze flush we went over in the room -  but was focused on the oil and gas fade instead.",15971805,"['redrocktrader', 'yes', 'i', 'missed', 'the', 'short', 'after', 'the', 'liquidity', 'trap', 'played', 'out', 'so', 'well', 'pissed', 'kept', 'meaning', 'to', 'fade', 'it', 'past', 'day', 'given', 'the', 'exhaustion', 'and', 'post', 'squeeze', 'flush', 'we', 'went', 'over', 'in', 'the', 'room', 'but', 'wa', 'focused', 'on', 'the', 'oil', 'and', 'gas', 'fade', 'instead']"
4,1.50E+18,2022-03-12T03:02:18.000Z,"@Rebelo49 Doesn't matter how many fills, per share commission same regardless.",15971805,"['rebelo', 'doesnt', 'matter', 'how', 'many', 'fill', 'per', 'share', 'commission', 'same', 'regardless']"
5,1.50E+18,2022-03-12T00:33:56.000Z,Sometimes you just have to ask for the VWAP squeeze out to replace. Nice dunk AHs - big cover came in at close less timid shorts for Monday likely gap down $HYMC https://t.co/PQuRKm1Efe,15971805,"['sometimes', 'you', 'just', 'have', 'to', 'ask', 'for', 'the', 'vwap', 'squeeze', 'out', 'to', 'replace', 'nice', 'dunk', 'ahs', 'big', 'cover', 'came', 'in', 'at', 'close', 'le', 'timid', 'short', 'for', 'monday', 'likely', 'gap', 'down', 'hymc', 'httpstcopqurkmefe']"
6,1.50E+18,2022-03-12T00:16:46.000Z,@YSRSFS @kycefn Request to upgrade via your broker - they can add on via DAS.,15971805,"['ysrsfs', 'kycefn', 'request', 'to', 'upgrade', 'via', 'your', 'broker', 'they', 'can', 'add', 'on', 'via', 'da']"
7,1.50E+18,2022-03-11T23:58:28.000Z,@YSRSFS You have to pay for it. Most have it.,15971805,"['ysrsfs', 'you', 'have', 'to', 'pay', 'for', 'it', 'most', 'have', 'it']"
8,1.50E+18,2022-03-11T23:55:28.000Z,@fel0ncod3 Correct.,15971805,"['felncod', 'correct']"
9,1.50E+18,2022-03-11T23:52:15.000Z,"The 750k bidder is just there while they sell hidden (showing 100 shares) at .65 - fwiw

Be careful falling for the ol' tricks. https://t.co/1A05n5FjaI",15971805,"['the', 'k', 'bidder', 'is', 'just', 'there', 'while', 'they', 'sell', 'hidden', 'showing', 'share', 'at', 'fwiwbe', 'careful', 'falling', 'for', 'the', 'ol', 'trick', 'httpstcoanfjai']"
10,1.50E+18,2022-03-11T23:45:57.000Z,If you're not paying for the product you are the product. Especially AHs.,15971805,"['if', 'youre', 'not', 'paying', 'for', 'the', 'product', 'you', 'are', 'the', 'product', 'especially', 'ahs']"
11,1.50E+18,2022-03-11T22:54:37.000Z,Holy $DIDI just saw it ????,15971805,"['holy', 'didi', 'just', 'saw', 'it']"
12,1.50E+18,2022-03-11T22:00:17.000Z,"Do Less, Make More ??? https://t.co/yrwaPasZAb",15971805,"['do', 'le', 'make', 'more', 'httpstcoyrwapaszab']"
13,1.50E+18,2022-03-11T21:15:27.000Z,Hope you all have a killer weekend ????,15971805,"['hope', 'you', 'all', 'have', 'a', 'killer', 'weekend']"
14,1.50E+18,2022-03-11T21:04:10.000Z,"Tweeted a while back that one main goal for me was to work on my reversal trade ie: exiting the long and getting into the short. 

Did it a handful of times today - mainly $HYMC swing long into ss and $GFAI long from .65 into the ss trade below ???? https://t.co/dnOFQ2jjtU https://t.co/8lpGytIh9q",15971805,"['tweeted', 'a', 'while', 'back', 'that', 'one', 'main', 'goal', 'for', 'me', 'wa', 'to', 'work', 'on', 'my', 'reversal', 'trade', 'ie', 'exiting', 'the', 'long', 'and', 'getting', 'into', 'the', 'short', 'did', 'it', 'a', 'handful', 'of', 'time', 'today', 'mainly', 'hymc', 'swing', 'long', 'into', 's', 'and', 'gfai', 'long', 'from', 'into', 'the', 's', 'trade', 'below', 'httpstcodnofqjjtu', 'httpstcolpgytihq']"
15,1.50E+18,2022-03-11T20:52:24.000Z,$HYMC finished product - ideally get VWAP squeeze out into close and replace some from the over sized stubborn shorts not locking into the key level from this morning. https://t.co/ZFStwG1SjO https://t.co/4e2WcLsq4j,15971805,"['hymc', 'finished', 'product', 'ideally', 'get', 'vwap', 'squeeze', 'out', 'into', 'close', 'and', 'replace', 'some', 'from', 'the', 'over', 'sized', 'stubborn', 'short', 'not', 'locking', 'into', 'the', 'key', 'level', 'from', 'this', 'morning', 'httpstcozfstwgsjo', 'httpstcoewclsqj']"
16,1.50E+18,2022-03-11T20:47:40.000Z,@Wasif268 Those are my trades.,15971805,"['wasif', 'those', 'are', 'my', 'trade']"
17,1.50E+18,2022-03-11T20:39:39.000Z,$WULF more highs they must have trapped some shorts in a big way. https://t.co/dkVoszcTjn,15971805,"['wulf', 'more', 'high', 'they', 'must', 'have', 'trapped', 'some', 'short', 'in', 'a', 'big', 'way', 'httpstcodkvoszctjn']"
18,1.50E+18,2022-03-11T20:30:14.000Z,$SISI when the hot air balloon pops https://t.co/8ENWaqynVj,15971805,"['sisi', 'when', 'the', 'hot', 'air', 'balloon', 'pop', 'httpstcoenwaqynvj']"
19,1.50E+18,2022-03-11T20:28:27.000Z,$TMC going for the round trip back red?,15971805,"['tmc', 'going', 'for', 'the', 'round', 'trip', 'back', 'red']"
20,1.50E+18,2022-03-11T20:03:03.000Z,The obvious way upon 60 seconds of research is the reason I'd go with. https://t.co/dwVgPndqhW,15971805,"['the', 'obvious', 'way', 'upon', 'second', 'of', 'research', 'is', 'the', 'reason', 'id', 'go', 'with', 'httpstcodwvgpndqhw']"
21,1.50E+18,2022-03-11T20:00:27.000Z,"I've covered about half I'd prefer red on the full cover $HYMC

Not looking for bounce trade - every bounce I've leaned in more. https://t.co/zLc5sXm6Or",15971805,"['ive', 'covered', 'about', 'half', 'id', 'prefer', 'red', 'on', 'the', 'full', 'cover', 'hymcnot', 'looking', 'for', 'bounce', 'trade', 'every', 'bounce', 'ive', 'leaned', 'in', 'more', 'httpstcozlcsxmor']"
22,1.50E+18,2022-03-11T19:57:14.000Z,$STAB never stopped from this tweet ???? https://t.co/NK33P0HWtw,15971805,"['stab', 'never', 'stopped', 'from', 'this', 'tweet', 'httpstconkphwtw']"
23,1.50E+18,2022-03-11T19:53:47.000Z,$HYMC almost red ???? https://t.co/LZckJoLrx4,15971805,"['hymc', 'almost', 'red', 'httpstcolzckjolrx']"
24,1.50E+18,2022-03-11T19:46:46.000Z,$GDS non stop unwind,15971805,"['gd', 'non', 'stop', 'unwind']"
25,1.50E+18,2022-03-11T19:15:59.000Z,@TMcNasty https://t.co/nY8OiKNZ1y,15971805,"['tmcnasty', 'httpstconyoiknzy']"
